aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,supplementary,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40.0,45.66666666666667,1.6996731711975936,0.0159848291886794,0.003710457722139,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,94.8631421072366,0.4622732660644145,55.09656506366216,0.8933142052034869,94.8631421072366,0.4622732660644145,0.1999999999999999,0.7257279923333803,0.1488680905069921,82.48499086400417,2.6021800575477134,72.70298361454776,4.120118968469398,82.48499086400417,2.6021800575477125,0.6,95.44895448954487,0.0869750038359877,55.126997490511854,3.191508320235544,95.44895448954487,0.0869750038359877,0.2,2.0,5e-06,2022-08-09 16:09:53.072
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_1,2.0,0.5,0.5,40.0,44.99999999999999,1.4142135623730936,0.0161636316877813,0.003762690828011,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,95.83333333333334,0.322798277278065,46.92718514618603,7.690177931819689,95.83333333333334,0.322798277278065,0.1999999999999999,0.7245780096666294,0.1564874206104884,84.87506645401382,3.7990313076524784,74.39478979805538,9.284331018738303,84.8750664540138,3.7990313076524775,0.6,94.89544895448957,0.3791152523351145,48.45185542139885,6.0306616377420905,94.89544895448957,0.3791152523351145,0.2,2.0,5e-06,2022-08-09 16:10:02.014
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_2,2.0,0.5,0.5,40.0,44.333333333333336,1.2472191289246484,0.0164047341814736,0.0040128692474089,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,95.1025056947608,0.966432958341522,43.39042510732727,3.534886199437387,95.1025056947608,0.966432958341522,0.1999999999999999,0.7265124753333414,0.1746675331713296,85.19668737060042,3.202633216213506,77.78776586365463,6.652256084977671,85.19668737060042,3.202633216213506,0.6,94.28044280442803,1.1102230246251564e-14,47.396908195283736,0.2334284637176631,94.28044280442803,1.1102230246251564e-14,0.2,2.0,5e-06,2022-08-09 16:10:10.928
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40.0,575.0,92.73977931107376,0.0131041724474587,0.0004507150899648,2000.0,classsize,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,98.5618900873138,0.3994953566025681,69.80863966458448,1.5227877163056494,98.5618900873138,0.3994953566025629,0.1999999999999999,7.511463487999966,1.084384621637141,92.97235023041472,0.6584649846191307,56.87028883724293,2.743731870354655,92.97235023041472,0.6584649846191307,0.6,98.33948339483396,0.1506451256324197,69.66105051925986,1.093424515405259,98.33948339483396,0.1506451256324197,0.2,2.0,5e-05,2022-08-09 16:10:21.603
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_1,2.0,0.5,0.5,40.0,449.0,26.49528259898354,0.0130202778786638,0.0002741773037362,2000.0,classsize,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,98.43505477308295,0.398984312487699,71.75307802302513,1.2374211184699588,98.43505477308295,0.398984312487699,0.1999999999999999,5.848410581333383,0.3974861417282851,91.02852852852853,0.0530860946836715,54.34707106864979,0.4084196411601735,91.02852852852853,0.0530860946836715,0.6,97.84747847478474,0.8296886570253434,64.95853920142524,5.129572819360022,97.84747847478474,0.8296886570253434,0.2,2.0,5e-05,2022-08-09 16:10:51.391
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_2,2.0,0.5,0.5,40.0,461.3333333333333,85.11299678793023,0.0129923497138291,0.000222873718136,2000.0,classsize,True,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.002,GCN,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,98.77220480668755,0.3524226113696965,62.90753206061409,6.086998873473261,98.77220480668755,0.3524226113696921,0.1999999999999999,6.009782588000007,1.2048289563575123,91.16104868913858,1.6974186057864646,60.20401700048571,4.937921087525433,91.16104868913858,1.6974186057864646,0.6,98.6469864698647,0.4842563268149931,61.74628044869327,7.207342945816999,98.6469864698647,0.4842563268149931,0.2,2.0,5e-05,2022-08-09 16:11:16.323
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100.0,115.66666666666666,3.299831645537214,0.0137625854185634,0.0036896456117917,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,80.65241844769405,0.9184438480626836,38.09210052998001,2.17800756071985,80.65241844769405,0.9184438480626836,0.1999999999999999,1.5953784623334288,0.4487038880622682,97.18089271730618,0.255754606398661,96.82304363990303,0.2241627179381396,97.18089271730618,0.2557546063986565,0.6,84.80934809348093,2.11082439135677,42.48247323638601,1.4235920264925757,84.80934809348093,2.11082439135677,0.2,2.0,0.0005,2022-08-09 16:11:41.257
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_1,2.0,0.5,0.5,100.0,121.0,3.741657386773945,0.0111661382174927,0.0012265174390538,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,83.73538011695906,0.6778960888520256,38.0732786021783,2.729522862169551,83.73538011695906,0.6778960888520256,0.1999999999999999,1.3522194106666727,0.16314878722218,97.1557682083998,0.2286636168804547,96.8781798980375,0.3989449379642825,97.1557682083998,0.2286636168804595,0.6,83.51783517835179,0.4348750191799179,38.20751930320286,2.739780518588008,83.51783517835179,0.4348750191799179,0.2,2.0,0.0005,2022-08-09 16:11:53.092
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_2,2.0,0.5,0.5,100.0,116.33333333333331,3.858612300930069,0.0111279844974239,0.0014068527396035,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,84.51025056947609,0.8265581266923748,38.31560664720723,3.038934470193982,84.51025056947609,0.8265581266923783,0.1999999999999999,1.2962592109999302,0.1820659805378766,97.56728778467908,0.949479105996072,97.35788881570278,1.0975449752326092,97.56728778467908,0.949479105996072,0.6,83.76383763837639,1.137345757005349,38.09398387781653,3.059566259188745,83.76383763837639,1.137345757005349,0.2,2.0,0.0005,2022-08-09 16:12:04.728
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40.0,55.66666666666668,0.4714045207910321,0.0119318097075761,0.0032292264619158,2000.0,classsize,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,90.1386748844376,0.7856732686583641,50.45174134343706,5.676986290610453,90.1386748844376,0.7856732686583641,0.1999999999999999,0.6626818596666907,0.1730595461675493,97.11981566820276,1.582442225655644,74.21254047522599,7.716915226897784,97.11981566820276,1.582442225655644,0.6,90.7749077490775,0.1506451256324197,50.67848955851072,5.190881496552574,90.7749077490775,0.1506451256324242,0.2,2.0,5e-06,2022-08-09 16:12:15.590
