aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,supplementary,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_1,2.0,0.5,0.5,100.0,269.0,15.556349186104049,0.1250731866557559,0.0011944797924826,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,83.03023541225038,0.4173675574916459,58.92314832369907,0.272775464655026,83.03023541225038,0.4173675574916459,0.1999999999999999,33.65067805722355,2.0741291120211987,87.3449957315044,0.1570321576319661,87.43311670204864,0.1574260791827308,87.3449957315044,0.1570321576319661,0.6,83.16666666666667,0.1209051510712228,58.955355687218734,0.0647079970054111,83.16666666666667,0.120905151071228,0.2,2.0,5e-06,2022-08-09 20:10:10.773
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_2,2.0,0.5,0.5,100.0,239.66666666666663,12.364824660660927,0.1189415920196397,0.0022581773106832,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,83.4409639746635,0.3369594596407539,59.04173636745872,0.1917964236365044,83.4409639746635,0.3369594596407581,0.1999999999999999,28.491855843613543,1.267181811281557,87.34457059005251,0.036121962723721,87.42672546155305,0.0430188116410751,87.34457059005253,0.0361219627237259,0.6,83.4736111111111,0.1432240108499654,58.9226034368476,0.0743604157964145,83.4736111111111,0.1432240108499654,0.2,2.0,5e-06,2022-08-09 20:12:08.909
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_25000_0,2.0,0.5,0.5,100.0,241.3333333333333,22.12590236703479,0.0208533038011838,0.0003617667179695,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,80.42249330556382,1.115111066443154,56.79786613534533,0.737925674440195,80.42249330556382,1.115111066443154,0.1999999999999999,5.025177052865426,0.3816703628669179,94.95311957402478,0.3146014910775065,94.9997137573166,0.3109245009481825,94.95311957402478,0.3146014910775065,0.6,80.17777777777778,0.4166296279833915,56.36771118791584,0.36534420036712,80.17777777777778,0.4166296279833942,0.2,2.0,5e-06,2022-08-09 17:48:41.609
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_25000_1,2.0,0.5,0.5,100.0,242.3333333333333,3.6817870057290993,0.0238727070439051,0.001290758446416,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,80.13258137924211,0.5716377491106855,57.06052341242586,0.409979485428656,80.13258137924211,0.5716377491106855,0.1999999999999999,5.784116167575121,0.305791742453594,94.8905109489051,0.0,94.9331119079346,0.0068911839167947,94.8905109489051,0.0,0.6,79.32222222222222,0.7899054483189424,56.45241500989119,0.4498898677009847,79.32222222222222,0.7899054483189424,0.2,2.0,5e-06,2022-08-09 17:49:12.585
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_15000_25000_2,2.0,0.5,0.5,100.0,206.66666666666669,15.084944665313005,0.0231202322597232,0.0003185977183508,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,78.45370092897812,0.6624454952188286,55.589922002589766,0.4126526716614919,78.45370092897812,0.6624454952188319,0.1999999999999999,4.775105186427632,0.3082057112621729,93.8781792296741,0.1279640551642294,93.92690576336275,0.132422067142686,93.8781792296741,0.1279640551642294,0.6,78.17777777777778,0.3947182148518109,55.508916691526125,0.164745116016672,78.17777777777778,0.3947182148518109,0.2,2.0,5e-06,2022-08-09 17:49:45.500
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_60000_100000_0,2.0,0.5,0.5,100.0,245.3333333333333,10.14341603646862,0.0615866966268913,0.0021745090315255,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,82.34521064246572,0.0632177776983412,58.31148353938136,0.0919062514420536,82.34521064246572,0.0632177776983412,0.1999999999999999,15.112863646820184,0.8939531652368176,88.73166073443876,0.1536334654209172,88.81066960055803,0.15234980876871,88.73166073443876,0.1536334654209121,0.6,83.08611111111111,0.3587744915716097,58.84345068080024,0.2756571026728555,83.08611111111111,0.3587744915716097,0.2,2.0,5e-06,2022-08-09 20:05:13.671
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_60000_100000_1,2.0,0.5,0.5,100.0,236.0,2.9439202887759617,0.0607406002823684,0.0002028194747944,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,82.62799644865345,0.2433691062947394,58.65492495053899,0.2412380252720866,82.62799644865345,0.2433691062947394,0.1999999999999999,14.334923001627129,0.1954352499397963,88.7416386343425,0.1249612389219512,88.79812569190352,0.1241948093909145,88.7416386343425,0.1249612389219512,0.6,82.23333333333332,0.4053462169005085,58.33607606771074,0.2646370728107016,82.23333333333332,0.4053462169005085,0.2,2.0,5e-06,2022-08-09 20:06:14.881
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_60000_100000_2,2.0,0.5,0.5,100.0,242.66666666666669,11.585431464655189,0.0690999222295769,0.0009070682527477,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.01,MLP,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,3,50.0,True,82.57732977566953,0.5768625832104078,58.46620390175181,0.4166925572395933,82.57732977566953,0.57686258321041,0.1999999999999999,16.77556404285133,0.9741786050716748,88.4944553919864,0.1778415281150631,88.56000309681016,0.1735155592082452,88.4944553919864,0.1778415281150631,0.6,82.83888888888889,0.2170224998291623,58.48712274727206,0.2210324936886046,82.83888888888889,0.217022499829166,0.2,2.0,5e-06,2022-08-09 20:07:14.378
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_0,2.0,0.5,0.5,100.0,130.66666666666666,8.730533902472528,0.1427712738015036,0.0015848867095029,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,2.0,10.0,2.0,4.0,False,GPR_prop,2000.0,3,50.0,True,89.17275837456003,0.2812401062624444,62.33812335537796,0.1375828290110453,89.17275837456003,0.2812401062624444,0.1999999999999999,18.663784813135862,1.3872651536247873,86.96104323262811,0.6386333909998504,87.03858067774381,0.637251645675521,86.96104323262811,0.6386333909998504,0.6,89.28611111111113,0.2578699547838905,62.509767183917,0.2226548641327222,89.28611111111113,0.2578699547838905,0.2,2.0,0.0005,2022-08-09 20:16:19.308
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_120000_200000_1,2.0,0.5,0.5,100.0,117.0,7.788880963698612,0.1324476099999196,0.0066216693789989,2000.0,scalability_node_edge,True,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,2.0,10.0,2.0,4.0,False,GPR_prop,2000.0,3,50.0,True,89.02897095466548,0.0982546380573719,62.58241941580166,0.2143315154874334,89.02897095466548,0.0982546380573687,0.1999999999999999,15.522427630921207,1.563728639121741,86.89017184915087,0.4316729891811943,86.94667371470713,0.4292935371194147,86.89017184915087,0.4316729891811989,0.6,89.30416666666666,0.2298348843715264,62.71585920783792,0.2171341800602211,89.30416666666666,0.2298348843715264,0.2,2.0,0.0005,2022-08-09 20:17:32.499
