cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay
True,GenCAT_cora_flat_2,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:05:16.810,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,251.00000000000003,9.899494936611664,0.0132099197632715,8.262957749113339e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,91.45141451414514,0.2301142304289035,91.15783392038108,0.3810437891917861,91.45141451414514,0.2301142304288995,0.1999999999999999,3.315985081000008,0.1394723637702781,97.39326765188837,0.39052334955748,97.39046034065332,0.3930171150011775,97.39326765188837,0.39052334955748,91.32841328413284,1.5942781545898768,91.09102874128894,1.6899208540864736,91.32841328413284,1.5942781545898768,2.0,0.0
True,GenCAT_cora_flat_1,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:04:56.723,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,233.66666666666669,3.399346342395192,0.0133152006426416,0.0002453197253376,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,91.26691266912668,0.3791152523351144,90.84274085590444,0.3647564850548739,91.26691266912668,0.3791152523351103,0.1999999999999999,3.110487520666652,0.0125805156396707,97.188013136289,0.2031916037892372,97.18640908406644,0.2039233273834498,97.188013136289,0.2031916037892372,90.6519065190652,0.2301142304289025,90.48799301546929,0.3782142171504116,90.6519065190652,0.2301142304289035,2.0,0.0
True,GenCAT_cora_flat_0,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:04:36.591,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,229.66666666666669,15.195028426721976,0.0131328667688565,0.0002301050484209,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,88.19188191881918,0.6903426912867056,88.15103787605271,0.6350788914121002,88.19188191881918,0.6903426912867056,0.1999999999999999,3.0176983459999747,0.2250534067678916,96.7775041050903,0.3566943184930768,96.78321702466836,0.3497489523375569,96.7775041050903,0.3566943184930768,90.34440344403444,0.3135928360143172,90.22654502640174,0.4192286619245227,90.34440344403444,0.3135928360143172,2.0,0.0
True,GenCAT_cora_0.7_2,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:04:21.555,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,142.66666666666669,10.873004286866726,0.0124083163409185,0.0002604703947498,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.01,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,94.09602572938203,0.2130397081437079,59.68021137420732,0.3508394132391787,94.09602572938203,0.2130397081437079,0.1999999999999999,1.7707578516666445,0.1465014696844945,79.11421911421911,3.9924837419126606,35.747661616415805,2.1640463851027016,79.11421911421911,3.9924837419126606,94.4649446494465,0.5218500230159057,59.74108277339349,1.0734792580904204,94.4649446494465,0.5218500230159057,2.0,0.0005
True,GenCAT_cora_0.7_1,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:04:05.464,mean,0.1,0.01,512.0,6.0,False,2.0,0.5,0.5,40.0,105.0,16.391054470858997,0.012433291594712,0.0002791048899046,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.01,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,95.62529719448408,0.1681185880139155,62.24266362153824,0.1738975449869369,95.62529719448406,0.1681185880139207,0.1999999999999999,1.302440949333345,0.1869801355357309,87.39092495636997,0.2689534905309325,46.17614980101254,0.2307912592710129,87.39092495636997,0.2689534905309325,95.5719557195572,0.301290251264844,62.29611982333349,0.6124513532743864,95.5719557195572,0.301290251264844,2.0,0.0005
True,GenCAT_cora_0.7_0,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:03:50.133,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,141.0,15.748015748023626,0.0121956729910509,5.932616111463421e-05,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.01,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,94.1649437169768,0.6172767674038355,60.23322076997219,0.705323684571377,94.1649437169768,0.6172767674038355,0.1999999999999999,1.7191015166666452,0.1883958741604359,84.1025641025641,1.029870491113031,38.10553982948321,0.5172871013307625,84.1025641025641,1.0298704911130303,94.03444034440344,0.379115252335115,59.657634685833926,0.5928798825135967,94.03444034440344,0.379115252335115,2.0,0.0005
True,GenCAT_cora_0.5_2,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:03:37.775,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,74.33333333333333,8.379870059984356,0.0128301370621766,0.0001443161927647,2000.0,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,91.6886157448054,0.4773048413901133,66.08322798028566,1.1699904689119545,91.6886157448054,0.4773048413901133,0.1999999999999999,0.9547350773333392,0.1159524464287732,82.05128205128206,0.1214429531572182,51.39097523284353,0.0756323043590954,82.05128205128206,0.1214429531572232,90.89790897908978,0.2301142304288986,64.67861552171482,0.2887374405330516,90.8979089790898,0.2301142304288995,2.0,0.0005
True,GenCAT_cora_0.5_1,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:03:22.629,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,78.66666666666666,4.642796092394706,0.0126471388374813,5.446403349957571e-05,2000.0,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,90.72943911653589,1.0372896424048088,59.79081141733543,5.150827288003648,90.72943911653589,1.0372896424048088,0.1999999999999999,0.9951596880000012,0.0630892126642717,83.51324828263003,1.832445348270973,55.11242363235505,4.710452631928368,83.51324828263003,1.832445348270973,90.22140221402212,1.5871448832181982,60.40614179929508,5.434680934450596,90.22140221402212,1.5871448832181982,2.0,0.0005
True,GenCAT_cora_0.5_0,classsize,True,GCN,3,0.6,0.2,2022-06-02 17:03:07.385,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,77.0,7.348469228349532,0.0126608371341263,0.0002502745281668,2000.0,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,85.30875036581797,4.511815590424761,65.02943197795888,3.791687988067858,85.30875036581796,4.511815590424759,0.1999999999999999,0.9732063626666444,0.0754692037506247,75.68971113274911,9.526556391716438,45.18547549339987,8.430221309716888,75.68971113274911,9.526556391716438,86.28536285362854,4.4288983732813865,63.92389013971053,2.803369254578373,86.28536285362854,4.4288983732813865,2.0,0.0005
True,GenCAT_cora_flat_2,classsize,True,MLP,3,0.6,0.2,2022-06-02 17:20:09.950,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,602.0,25.45584412271572,0.0100074686769141,5.682255799157861e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,74.29274292742927,0.82968865702534,73.26762201535092,1.080451160574576,74.29274292742927,0.8296886570253378,0.1999999999999999,6.025762435333414,0.2843097977317507,99.75369458128078,0.0502768830620486,99.75364671863188,0.050332358886047,99.75369458128078,0.0502768830620486,73.30873308733086,0.6792964955219716,72.9304402571241,0.505974126707746,73.30873308733086,0.6792964955219672,2.0,5e-06
