cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay,supplementary
True,GenCAT_cora_0_0,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:19:27.894,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,201.66666666666663,0.9428090415820642,0.0222437190889068,0.006237831794101,2000.0,,8.0,64.0,PPR,last,10.0,16.0,3.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,74.26431246655966,2.4774396795698723,50.38818857155829,3.264327287033316,74.26431246655966,2.477439679569877,0.1999999999999999,4.482802988000003,1.24532422869762,92.3957658241521,5.166400321946838,92.18814059418683,5.303425472447416,92.3957658241521,5.166400321946838,76.19926199261991,2.76137076514682,54.92434465832234,1.2306457513849838,76.19926199261991,2.7613707651468147,2.0,0.001,False
True,GenCAT_cora_0_1,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:20:04.659,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,201.0,0.0,0.0186773652354892,0.0008204366030861,2000.0,,8.0,64.0,PPR,last,10.0,16.0,3.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,74.1846323935876,1.1516123082365752,51.21345058628154,0.2428604020296578,74.18463239358762,1.151612308236575,0.1999999999999999,3.754150412333331,0.1649077572203215,94.8603113670292,5.549729668077961,94.99275814489653,5.340376519229249,94.8603113670292,5.549729668077961,74.60024600246004,2.089211285542808,50.81785616929801,1.8203293752560867,74.60024600246004,2.089211285542808,2.0,0.001,False
True,GenCAT_cora_0_2,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:20:29.522,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,207.3333333333333,8.95668589502962,0.0208022582815542,0.0035955260401863,2000.0,,8.0,64.0,PPR,last,10.0,16.0,3.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,75.78347578347578,2.593688131450949,51.91404203561575,1.4458212320890262,75.78347578347578,2.593688131450945,0.1999999999999999,4.298332142333322,0.6638500836948572,95.76217583807716,2.773448644723652,95.8818646315786,2.694455638120228,95.76217583807716,2.773448644723652,73.06273062730627,2.353152087295078,48.86938539586097,1.641025371376096,73.06273062730627,2.353152087295078,2.0,0.001,False
True,GenCAT_cora_2_0,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:20:56.455,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,216.0,8.04155872120988,0.0188457706434431,0.0013684469039484,2000.0,,8.0,128.0,PPR,last,10.0,16.0,4.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,57.82312925170068,4.181967832541497,38.71170799876473,3.52631837245855,57.82312925170068,4.181967832541497,0.1999999999999999,4.08131021666668,0.4510193174402979,63.8149556400507,1.434863345816788,60.57571307009951,1.3721552059854931,63.8149556400507,1.434863345816788,55.289052890528914,2.9914849955757195,37.08175108039642,2.35214484216239,55.289052890528914,2.9914849955757195,2.0,0.001,False
True,GenCAT_cora_2_1,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:21:23.432,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,210.3333333333333,10.49867716534909,0.0189560409952956,0.0007593890167968,2000.0,,8.0,128.0,PPR,last,10.0,16.0,4.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,62.01796090861067,0.7357838498248362,45.3978140835387,2.51314953241749,62.01796090861067,0.7357838498248362,0.1999999999999999,3.995027868666682,0.3637037930208464,85.73289902280129,9.486081750396789,82.67047912661968,11.376295635796456,85.73289902280129,9.486081750396789,59.90159901599016,2.843696930306742,42.5791131637899,0.7787069407892905,59.90159901599016,2.843696930306742,2.0,0.001,False
True,GenCAT_cora_2_2,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:21:50.541,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,218.33333333333337,15.691469727919774,0.0191598088563407,0.0009128768518994,2000.0,,8.0,128.0,PPR,last,10.0,16.0,4.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,55.89012150026414,4.143406561252526,38.47141946584908,2.75503906501656,55.89012150026414,4.143406561252526,0.1999999999999999,4.197526201666657,0.5049752967641452,83.38762214983713,6.205247348865122,81.60476725691366,7.494657727996455,83.38762214983713,6.205247348865122,57.9950799507995,4.849587700791222,42.25889807157405,4.51150093562503,57.9950799507995,4.849587700791222,2.0,0.001,False
True,GenCAT_cora_4_0,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:22:17.379,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,201.0,0.0,0.0195669027263682,0.0012383347674769,2000.0,,8.0,128.0,PPR,last,10.0,16.0,4.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,51.63288288288289,5.939181075267682,29.05434457455937,0.8857522437755422,51.63288288288289,5.939181075267682,0.1999999999999999,3.932947448000012,0.2489052882628765,82.93096145700973,9.23070383220796,83.87988365887425,7.741558106167509,82.93096145700973,9.23070383220796,52.64452644526445,4.86826996978187,30.66909820106521,2.6022232091340296,52.64452644526445,4.86826996978187,2.0,0.001,False
True,GenCAT_cora_4_1,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:22:44.225,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,203.3333333333333,3.299831645537235,0.0215339064001708,0.0020542944544686,2000.0,,8.0,128.0,PPR,last,10.0,16.0,4.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,46.61333333333333,2.445203922420832,30.463868822394595,1.0371115289424049,46.61333333333333,2.445203922420832,0.1999999999999999,4.384847482666714,0.487973268187682,73.65347177157689,23.958939576047133,71.29101876267345,27.94600014014554,73.65347177157689,23.958939576047136,47.41697416974169,4.067418392075387,29.942404591708588,1.3142398170418936,47.41697416974169,4.067418392075387,2.0,0.001,False
True,GenCAT_cora_4_2,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:23:11.108,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,201.0,0.0,0.0192935702338305,0.0009404291914959,2000.0,,8.0,128.0,PPR,last,10.0,16.0,4.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,53.69458128078818,4.338208477380266,38.24287918022909,1.4473776865778882,53.69458128078818,4.338208477380266,0.1999999999999999,3.878007616999942,0.1890262674906937,75.10169128666239,7.650245611363863,73.40049040958742,4.146587387522239,75.10169128666239,7.650245611363863,53.38253382533825,2.6538067663458085,35.40216803589,2.649696770184624,53.38253382533825,2.6538067663458085,2.0,0.001,False
True,GenCAT_cora_6_0,hetero_homo,True,LINKX,3,0.6,0.2,2022-08-10 20:23:37.042,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,200.0,245.0,3.559026084010436,0.0173339188173057,0.0007717881520705,2000.0,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.01,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,40.18046709129512,3.922789005711652,15.862759730216856,1.9521822781896376,40.18046709129512,3.922789005711652,0.1999999999999999,4.249471909333313,0.2512701124805984,84.98049414824447,21.011061112700304,81.95859735198523,25.28499346054446,84.98049414824447,21.011061112700304,39.9138991389914,4.53272466732799,16.52992374339414,1.5479750294445738,39.9138991389914,4.53272466732799,2.0,0.001,False
