cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay,supplementary
True,GenCAT_cora_0.4_0,classsize,True,GCN,3,0.6,0.2,2022-08-08 22:09:50.672,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,265.3333333333333,39.87759047663516,0.0122319400414987,0.0002006168441225,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.01,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,93.4008248968879,0.4622732660644145,50.82261588606514,5.614341620138313,93.4008248968879,0.4622732660644145,0.1999999999999999,3.2514754006018243,0.5286326120478069,93.5525972330984,3.747008650815297,89.16095100799025,8.876679831587749,93.5525972330984,3.747008650815297,93.05043050430504,1.217650053703769,47.93786548828893,2.8314834306842367,93.05043050430504,1.217650053703773,2.0,0.0,
True,GenCAT_cora_0.4_1,classsize,True,GCN,3,0.6,0.2,2022-08-08 22:10:14.856,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,184.66666666666663,6.128258770283408,0.0128804601214895,0.0005716032896352,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.01,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,94.00584795321636,0.7180878181428523,47.59676355480078,0.3854142161338027,94.00584795321636,0.7180878181428523,0.1999999999999999,2.375645836815238,0.0558173852776164,91.57363104731525,2.782574858628755,85.89801178706402,7.384298858569399,91.57363104731525,2.782574858628755,94.64944649446494,0.5218500230159004,47.69114813001886,0.172216529836395,94.64944649446494,0.5218500230159004,2.0,0.0,
True,GenCAT_cora_0.4_2,classsize,True,GCN,3,0.6,0.2,2022-08-08 22:10:36.445,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,231.66666666666669,17.987650084309383,0.0132452261094941,0.0001122915902652,2000.0,,8.0,16.0,PPR,last,10.0,16.0,2.0,0.01,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,93.47000759301444,0.2147628796314493,42.71826178744568,3.281587940157773,93.47000759301444,0.2147628796314493,0.1999999999999999,3.067375898982088,0.2239655096278785,92.5983436853002,2.990446547754513,86.64539699283281,7.071952184064598,92.5983436853002,2.990446547754513,93.2349323493235,0.5290482944060674,47.18644118920572,0.4154207785212473,93.2349323493235,0.5290482944060674,2.0,0.0,
True,GenCAT_cora_0.6_0,classsize,True,GCN,3,0.6,0.2,2022-08-08 22:10:59.695,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,105.33333333333334,1.699673171197596,0.0123762240656941,5.1378692328781125e-05,2000.0,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,98.92141756548534,0.1089532790734305,66.21962134914054,6.230946194647449,98.92141756548534,0.1089532790734305,0.1999999999999999,1.3037097416818142,0.0261014690323799,92.08909370199692,1.2771343431886224,57.93005035246461,5.241119681363584,92.08909370199692,1.2771343431886224,98.70848708487084,0.5218500230159004,66.41349253825842,7.457687314888138,98.70848708487084,0.5218500230159004,2.0,0.0,
True,GenCAT_cora_0.6_1,classsize,True,GCN,3,0.6,0.2,2022-08-08 22:11:18.128,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,110.33333333333334,1.2472191289246484,0.0121155837788102,4.271404212018295e-05,2000.0,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,97.73082942097028,0.6094586043582648,66.0989515883751,5.299253184065824,97.73082942097028,0.6094586043582648,0.1999999999999999,1.3368023913353682,0.0196098135584086,90.84084084084084,0.212344378734702,55.54842588953625,2.935630171951046,90.84084084084084,0.212344378734702,97.97047970479706,0.6025805025296834,68.07839740067995,6.723875654367928,97.97047970479706,0.6025805025296834,2.0,0.0,
True,GenCAT_cora_0.6_2,classsize,True,GCN,3,0.6,0.2,2022-08-08 22:11:36.343,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,105.33333333333334,2.8674417556808782,0.0120129137283049,1.8399118803845083e-05,2000.0,,8.0,32.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,98.22361546499478,0.9498254421472218,62.23133000347122,6.529657769501989,98.22361546499478,0.9498254421472218,0.1999999999999999,1.2653901875019076,0.0356175151546208,90.26217228464418,3.0042029408472617,57.3994635631197,6.246988326259968,90.26217228464418,3.0042029408472617,98.5239852398524,0.301290251264844,68.34763959835351,7.354686586747618,98.5239852398524,0.301290251264844,2.0,0.0,
True,GenCAT_cora_0.4_0,classsize,True,MLP,3,0.6,0.2,2022-08-08 22:11:54.871,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,611.6666666666666,7.408703590297648,0.0097210051997143,2.1258146879354432e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,82.9021372328459,0.6429106936438782,37.96026699225536,1.0647580600387885,82.9021372328459,0.6429106936438782,0.1999999999999999,5.946101990838846,0.0798406099201001,97.36361263377708,0.1330989170867333,96.86529094738717,0.208080408666139,97.36361263377708,0.1330989170867333,84.56334563345634,1.508959919604586,42.29790656476886,2.1081107361215903,84.56334563345634,1.508959919604586,2.0,0.0005,
True,GenCAT_cora_0.4_1,classsize,True,MLP,3,0.6,0.2,2022-08-08 22:12:27.267,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,561.6666666666667,50.63156678946007,0.009689776803326,9.115037574158682e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,82.78508771929825,1.395605489183973,41.545104993938736,0.4789453611121982,82.78508771929825,1.395605489183968,0.1999999999999999,5.444694569334388,0.5179110707018324,96.86337054758108,0.5835858160579527,96.36048783860292,0.7159925800399823,96.86337054758108,0.5835858160579527,83.27183271832718,0.7119210887324868,37.83792494352227,3.0976147154566025,83.27183271832718,0.7119210887324853,2.0,0.0005,
True,GenCAT_cora_0.4_2,classsize,True,MLP,3,0.6,0.2,2022-08-08 22:12:57.616,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,550.6666666666666,22.691163233490023,0.0096962252755013,0.0001254830366928,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,83.75094912680335,1.53465322182291,42.19586292669717,0.4530359130199558,83.75094912680335,1.534653221822915,0.1999999999999999,5.337998686358333,0.1954912752065475,96.92028985507248,0.5084596973185396,96.40639027238632,0.5249793847452371,96.92028985507248,0.5084596973185396,83.45633456334564,0.4842563268149964,38.14155074183243,2.688279926348572,83.45633456334564,0.4842563268149964,2.0,0.0005,
True,GenCAT_cora_0.6_0,classsize,True,MLP,3,0.6,0.2,2022-08-08 22:13:27.953,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,381.0,21.924111536540465,0.0092908743370552,7.440457502397742e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,89.72778633795583,1.0071223190101488,51.8936642222434,0.9531154565138962,89.72778633795583,1.0071223190101442,0.1999999999999999,3.539163588856658,0.1933185380237953,97.46543778801843,0.4703321318708102,76.86695439525536,7.19479667368248,97.46543778801843,0.4703321318708102,90.0369003690037,0.6025805025296881,51.97311549969304,0.7891609858498924,90.0369003690037,0.6025805025296881,2.0,5e-06,
True,GenCAT_cora_0.6_1,classsize,True,MLP,3,0.6,0.2,2022-08-08 22:13:53.500,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,449.3333333333333,26.233989826601345,0.0093340019749688,0.0001059908644096,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,90.87115284298385,0.2659895416584643,50.74271737925059,5.492287850628986,90.87115284298385,0.2659895416584643,0.1999999999999999,4.191898398101329,0.210457608985524,98.53603603603604,0.4865420944750629,85.097678216044,4.382414948674557,98.53603603603604,0.4865420944750629,90.59040590405904,1.3132937579374315,46.454769505563846,0.6750236036042898,90.59040590405904,1.313293757937423,2.0,5e-06,
True,GenCAT_cora_0.6_2,classsize,True,MLP,3,0.6,0.2,2022-08-08 22:14:20.831,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,376.0,33.176296759383284,0.0095479392891325,0.0001173852726171,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,89.23719958202717,0.0738878559233569,41.22198524877439,0.3970201426299686,89.23719958202717,0.0738878559233569,0.1999999999999999,3.5879208060602346,0.2926145442036219,97.94007490636704,1.1097777071182795,81.47157525946612,4.142425858993105,97.94007490636704,1.1097777071182795,88.99138991389913,1.5164610093404638,46.95675926632983,4.84122037829735,88.99138991389913,1.516461009340468,2.0,5e-06,
