cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay,supplementary
True,GenCAT_cora_25000_0,scalability_edge,True,GCN,3,0.6,0.2,2022-08-08 22:10:04.764,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,222.00000000000003,12.027745701779144,0.0135121972639523,4.412991294059169e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,89.40435280641465,1.2729731254806915,67.31785602775591,1.6703828288794211,89.40435280641466,1.2729731254806935,0.1999999999999999,3.000233953197797,0.1724713684141433,93.58164983164984,0.751118194342374,93.470163697671,0.7956345002644308,93.58164983164984,0.7511181943423688,89.0528905289053,0.1739500076719703,65.6405642880386,0.3352901963044766,89.0528905289053,0.1739500076719703,2.0,0.0,
True,GenCAT_cora_25000_1,scalability_edge,True,GCN,3,0.6,0.2,2022-08-08 22:10:28.103,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,242.3333333333333,6.649979114419996,0.0135663621087836,0.0004631462711182,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,89.42953020134227,0.6849803531272837,62.11066996245015,0.5470833059306058,89.42953020134227,0.6849803531272882,0.1999999999999999,3.2896301479389267,0.1852002437698701,93.7791932059448,0.1082594376558977,93.7423558981023,0.0997044905060236,93.7791932059448,0.1082594376558977,89.54489544895449,0.9801585147914658,62.406145797846925,0.8026434460254621,89.54489544895449,0.9801585147914657,2.0,0.0,
True,GenCAT_cora_25000_2,scalability_edge,True,GCN,3,0.6,0.2,2022-08-08 22:10:52.754,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,227.0,8.286535263104025,0.0135262430191005,0.0006261305233655,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,89.46236559139784,0.5482816681282571,63.6075403805258,0.3683969245574328,89.46236559139784,0.5482816681282571,0.1999999999999999,3.0706682732949653,0.1810806937055984,93.4885726606296,0.359494006048578,93.3973695355942,0.3457989211429894,93.4885726606296,0.359494006048578,90.7749077490775,0.2609250115079528,64.37499046403731,0.7790609869019541,90.7749077490775,0.2609250115079528,2.0,0.0,
True,GenCAT_cora_25000_0,scalability_edge,True,MLP,3,0.6,0.2,2022-08-08 22:11:16.141,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,464.66666666666674,8.576453553512403,0.0097445825259851,4.3927498087531846e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,68.3848797250859,0.8761201913389632,50.68191826933512,0.8853032018502889,68.3848797250859,0.8761201913389632,0.1999999999999999,4.528174260631204,0.0958254969195478,99.1372053872054,0.1297225168974947,99.14089940884465,0.1236491038309093,99.1372053872054,0.1297225168974947,65.80565805658057,1.5164610093404596,48.163836590065976,0.159635696782779,65.80565805658057,1.5164610093404596,2.0,5e-06,
True,GenCAT_cora_25000_1,scalability_edge,True,MLP,3,0.6,0.2,2022-08-08 22:11:44.563,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,433.3333333333333,23.041026211713955,0.0098920089720736,6.990682285645061e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,66.55480984340045,0.9121647891666717,47.21029682687978,0.8881847288573743,66.55480984340045,0.9121647891666717,0.1999999999999999,4.287896001711488,0.2533884090563978,99.15074309978768,0.0300257656554797,99.1514298609507,0.032011027435862,99.15074309978768,0.0300257656554797,65.37515375153752,0.7119210887324853,44.91989593874135,1.5312587474152022,65.37515375153752,0.7119210887324853,2.0,5e-06,
True,GenCAT_cora_25000_2,scalability_edge,True,MLP,3,0.6,0.2,2022-08-08 22:12:11.866,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,468.6666666666666,9.46337971105224,0.0100019502119143,0.000117258457217,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,67.79569892473117,0.5482816681282534,49.19342791674986,0.4395256564338696,67.79569892473117,0.5482816681282534,0.1999999999999999,4.687432723119855,0.1032998525754029,99.74126778783958,0.0914756508650138,99.75241348415436,0.0890767595072855,99.74126778783958,0.0914756508650138,66.48216482164821,0.460228460857806,48.280132254530365,0.3910420400527705,66.48216482164821,0.460228460857806,2.0,5e-06,
True,GenCAT_cora_25000_0,scalability_edge,True,GAT,3,0.6,0.2,2022-08-08 22:12:40.246,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,73.33333333333334,9.977753031397176,0.0185334559734646,0.0027744086900695,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,8.0,False,GPR_prop,2000.0,50.0,90.60710194730814,1.2257121740568562,72.88856802079317,4.631835055032693,90.60710194730814,1.2257121740568562,0.1999999999999999,1.3797297980636358,0.3732981639184279,87.71043771043772,1.785871170814574,87.62704189855874,1.8589093119993547,87.71043771043772,1.785871170814574,89.97539975399754,0.4348750191799231,73.2991991552125,6.252766041132575,89.97539975399754,0.4348750191799231,2.0,0.0005,
True,GenCAT_cora_25000_1,scalability_edge,True,GAT,3,0.6,0.2,2022-08-08 22:12:58.653,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,65.33333333333333,7.408703590297624,0.0194351767526996,0.0043824034089644,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,8.0,False,GPR_prop,2000.0,50.0,85.90604026845638,3.799017382045125,58.15578984650318,2.064893448217008,85.90604026845638,3.799017382045125,0.1999999999999999,1.266094248741865,0.292399704174283,86.24203821656052,3.3247350122691053,86.23886405617606,3.237626188513646,86.24203821656052,3.324735012269106,86.22386223862239,1.7972495936288382,57.99891862729275,1.7562846475100131,86.22386223862239,1.7972495936288382,2.0,0.0005,
True,GenCAT_cora_25000_2,scalability_edge,True,GAT,3,0.6,0.2,2022-08-08 22:13:16.894,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,63.33333333333333,13.71941041817112,0.022153965278276,0.0059070025896363,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,8.0,False,GPR_prop,2000.0,50.0,91.50537634408602,1.4204134208196673,64.3054137996034,1.1558544605537613,91.50537634408602,1.420413420819669,0.1999999999999999,1.3241481023530166,0.0487484271434716,89.3057352307029,0.8795203990673209,89.09386792666396,0.959051811835306,89.3057352307029,0.8795203990673209,91.82041820418203,2.20546384711453,64.53077503615806,1.439270671997776,91.82041820418203,2.20546384711453,2.0,0.0005,
True,GenCAT_cora_25000_0,scalability_edge,True,GraphSAGE,3,0.6,0.2,2022-08-08 22:13:35.191,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,114.33333333333336,9.285592184789412,0.0148851877662198,8.19983372936875e-05,500.0,,8.0,128.0,PPR,last,10.0,16.0,2.0,0.1,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,88.20160366552119,0.7061184424935801,68.69327629319969,2.1790426152959284,88.20160366552119,0.7061184424935801,0.1999999999999999,1.7023021013786397,0.1442333624141011,96.56986531986531,0.0787385813715077,96.5489323715056,0.0451157096371759,96.56986531986531,0.0787385813715077,89.85239852398523,1.0863174497328216,67.88291015584745,1.3433840712136178,89.85239852398523,1.0863174497328163,2.0,0.0005,
