cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_edge_layers,num_neighbors,num_node_layers,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay,supplementary
True,GenCAT_cora_4_1,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:23:30.851,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,201.66666666666663,0.4714045207910426,0.0127215260571976,0.0007746561761891,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,1.0,10.0,1.0,1.0,False,GPR_prop,2000.0,50.0,76.01010101010101,2.867690821530985,54.45784182741497,1.0111053489163662,76.01010101010101,2.867690821530978,0.1999999999999999,2.5651440966667,0.1499975156576226,91.5891987605135,1.5471431710758103,91.42352011954232,1.6648648923239833,91.5891987605135,1.5471431710758103,75.15375153751536,3.6787445089146784,53.88284830927152,1.9452884862476063,75.15375153751536,3.6787445089146784,2.0,0.001,False
True,GenCAT_cora_4_2,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:23:48.265,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,206.3333333333333,7.542472332656514,0.0126861859542306,0.0007564964309281,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,1.0,10.0,1.0,1.0,False,GPR_prop,2000.0,50.0,73.00319488817891,7.770215020457067,56.524337390607485,10.269625675954506,73.0031948881789,7.770215020457064,0.1999999999999999,2.6143228963333818,0.124861812157441,82.16450216450217,2.832604849152533,80.7731362186147,4.371918654854312,82.16450216450217,2.832604849152531,73.18573185731859,6.751075768788484,57.10769243343926,12.709475991932878,73.18573185731859,6.751075768788486,2.0,0.001,False
True,GenCAT_cora_rand_0,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:25:04.725,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,206.3333333333333,7.542472332656514,0.0143977679114413,0.0007854801274817,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,72.19512195121952,4.087741492675299,54.85393171326108,4.798494678550192,72.19512195121952,4.087741492675299,0.1999999999999999,2.968313564000028,0.1496290566695591,84.82699333763163,10.623547509157614,83.80176398366909,11.396043961488324,84.82699333763163,10.623547509157614,72.32472324723247,4.571775532606597,54.78666905309444,5.717738627009288,72.32472324723247,4.571775532606597,2.0,0.001,False
True,GenCAT_cora_rand_1,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:25:24.868,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,205.0,3.2659863237109072,0.0142493655922153,0.00076033522528,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,71.19791666666666,5.366352863496357,52.53359721234284,2.6716794580052694,71.19791666666666,5.366352863496357,0.1999999999999999,2.921011943333345,0.1603660133674224,87.61467889908258,2.835800707022904,87.27611447616948,3.3038948493810074,87.61467889908258,2.835800707022904,70.60270602706028,5.188698675890394,53.09967987461189,5.027216236002153,70.60270602706028,5.188698675890397,2.0,0.001,False
True,GenCAT_cora_rand_2,attribute,True,LINKX,3,0.6,0.2,2022-08-10 20:25:43.370,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.0,200.0,228.3333333333333,19.93879523831758,0.0142922096566103,0.0005782895082601,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,2.0,10.0,2.0,1.0,False,GPR_prop,2000.0,50.0,71.78649237472766,4.664421365143058,49.338290616961615,2.28541156598424,71.78649237472766,4.664421365143053,0.1999999999999999,3.26659495066671,0.3409165888562318,93.47919347919348,5.520953847102174,93.50549230380304,5.478418607608681,93.47919347919348,5.520953847102169,72.26322263222632,5.352320472825235,49.445278709919165,3.82424641808475,72.26322263222632,5.352320472825235,2.0,0.001,False
True,GenCAT_cora_rand_2,attribute,True,GCN,3,0.6,0.2,2022-06-02 16:45:23.654,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,47.0,1.6329931618554512,0.0142871843980845,0.0001615307278674,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,,10.0,,1.0,False,GPR_prop,2000.0,50.0,79.19389978213508,2.1935763143357616,56.16247491435965,1.7008822796783487,79.19389978213509,2.1935763143357647,0.1999999999999999,0.6714415266667402,0.0231069758404996,96.5036465036465,0.9778010570606174,96.5269008465892,1.0013215102133246,96.5036465036465,0.9778010570606174,81.36531365313652,2.319152230622978,57.07901213359522,1.2618254657617325,81.36531365313652,2.31915223062298,2.0,5e-06,
True,GenCAT_cora_rand_1,attribute,True,GCN,3,0.6,0.2,2022-06-02 16:45:10.398,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,46.33333333333333,1.247219128924646,0.014154019340277,0.0001576346474841,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,,10.0,,1.0,False,GPR_prop,2000.0,50.0,82.1875,0.6378879538497859,58.50748014109236,0.3425649962724555,82.1875,0.6378879538497859,0.1999999999999999,0.655980769999966,0.0244605275334916,94.69200524246396,0.6574887262250927,94.7138234729455,0.6248816100985068,94.69200524246396,0.6574887262250927,81.91881918819189,1.0863174497328216,57.93683022259833,0.6416150155700858,81.91881918819189,1.0863174497328163,2.0,5e-06,
True,GenCAT_cora_rand_0,attribute,True,GCN,3,0.6,0.2,2022-06-02 16:44:57.021,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,46.0,1.4142135623730936,0.0144134511373321,0.0001916213039517,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,,10.0,,1.0,False,GPR_prop,2000.0,50.0,79.94579945799458,0.903703631465206,57.1449198132356,0.9095992483485184,79.94579945799457,0.9037036314652096,0.1999999999999999,0.6629085330000635,0.0187752895768289,93.83193638512788,0.6055879133292644,93.95884038533345,0.5561816187427374,93.83193638512788,0.6055879133292599,80.01230012300122,1.281221811562096,56.71712656822898,0.8324171195766348,80.01230012300122,1.281221811562096,2.0,5e-06,
True,GenCAT_cora_16_2,attribute,True,GCN,3,0.6,0.2,2022-06-02 16:44:43.674,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,48.0,2.160246899469286,0.0143216054290095,0.0003082195530457,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,,10.0,,1.0,False,GPR_prop,2000.0,50.0,83.21917808219177,1.1184884670242825,57.282490681786015,0.4881379761695016,83.21917808219177,1.1184884670242825,0.1999999999999999,0.687576670999988,0.0368145059235958,96.60766961651916,0.5169761545042254,96.56965314965817,0.5272426790849774,96.60766961651916,0.5169761545042254,83.94833948339483,2.02672288478279,57.4525743026855,2.116408844291949,83.94833948339483,2.02672288478279,2.0,0.0,
True,GenCAT_cora_16_1,attribute,True,GCN,3,0.6,0.2,2022-06-02 16:44:31.345,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,44.66666666666666,2.054804667656325,0.0140996449754358,5.184373717303731e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,2.0,,10.0,,1.0,False,GPR_prop,2000.0,50.0,79.82758620689656,2.04487895111002,56.68607454335043,1.246801989561688,79.82758620689656,2.0448789511100243,0.1999999999999999,0.6298906326666535,0.031259511934635,93.98907103825135,1.4941464974507128,93.99589135191825,1.492312524008171,93.98907103825135,1.4941464974507128,78.65928659286593,1.7653997656097569,55.39713234267582,2.264895599646933,78.65928659286593,1.7653997656097518,2.0,0.0,
