cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay
True,GenCAT_cora_96000_160000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:19:19.381,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,226.3333333333333,17.931970208417024,0.0871538195545244,0.0002876909311921,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.92140971326825,0.2857594892583912,63.41667957972085,0.2734036734311655,89.92140971326825,0.2857594892583861,0.1999999999999999,19.723213627313573,1.532564478285667,89.84097015467286,0.2081475696327204,89.86579813378151,0.2046056961407964,89.84097015467286,0.2081475696327204,89.89236111111111,0.0218225782812082,63.3998179917081,0.0419158597376988,89.89236111111111,0.0218225782812082,2.0,5e-06
True,GenCAT_cora_96000_160000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:17:46.599,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,296.3333333333333,27.86076492528914,0.0871150647125568,0.000622275981565,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.90755244325685,0.4216088594017881,63.44561272362207,0.2081911449157077,89.90755244325685,0.421608859401785,0.1999999999999999,25.80616491350035,2.345420711792048,90.6753306470154,0.5058449021575481,90.6833660743664,0.5054213655852121,90.6753306470154,0.5058449021575481,90.15972222222224,0.2284685283389347,63.665350381842345,0.1338032942317202,90.15972222222224,0.2284685283389347,2.0,5e-06
True,GenCAT_cora_96000_160000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:16:30.000,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,233.66666666666663,32.71425105702747,0.0869613050497769,0.0007628738292119,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,90.1662518054147,0.252766231927324,63.33039184476586,0.2092629349306814,90.1662518054147,0.252766231927324,0.1999999999999999,20.31013542786241,2.7641095377947043,89.88192453332366,0.6008594026016488,89.88984726902424,0.6067464419344002,89.88192453332366,0.6008594026016488,90.07465277777776,0.3009537469333298,63.403941380639054,0.2553545337871282,90.07465277777776,0.3009537469333298,2.0,5e-06
True,GenCAT_cora_48000_80000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:15:36.339,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,277.6666666666667,35.91038228083288,0.0459693006272177,6.556856119784932e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,88.92555922258893,0.4818580453349692,62.67095305743909,0.3239754263791308,88.92555922258893,0.481858045334965,0.1999999999999999,12.7618459785978,1.634687868149634,91.04224259178427,0.7228154980314763,91.04935021782738,0.732942839579982,91.04224259178427,0.722815498031475,89.30902777777777,0.4163482579687092,63.06335996127581,0.2490280393739916,89.30902777777777,0.4163482579687092,2.0,5e-06
True,GenCAT_cora_48000_80000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:14:48.841,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,238.0,32.321303604073066,0.0460035381055668,0.0003722387007193,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.63193364437532,0.3854124069065815,63.111222276841126,0.3228152063111798,89.63193364437532,0.3854124069065763,0.1999999999999999,10.959930701181293,1.5640129421495956,90.55056002524056,0.607607962644687,90.55116117952107,0.6035085825684968,90.55056002524056,0.607607962644687,89.87847222222221,0.216895801204744,63.360537812407536,0.1882026477460207,89.87847222222221,0.216895801204744,2.0,5e-06
True,GenCAT_cora_48000_80000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:13:53.066,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,287.66666666666663,37.72119946248912,0.0466727923622292,0.0005509464952955,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.71293355750669,0.147555833004205,63.19191474856248,0.1776095430661891,89.71293355750669,0.147555833004205,0.1999999999999999,13.445267207920551,1.90165220101624,91.21831443634,0.5125684107235638,91.19929571911564,0.500604177167701,91.21831443634,0.5125684107235638,89.72916666666667,0.0755956286704087,63.1811482296954,0.3181316714550816,89.72916666666667,0.0755956286704138,2.0,5e-06
True,GenCAT_cora_24000_40000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:13:18.313,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,227.3333333333333,9.977753031397167,0.0281035032888055,0.0002461470541012,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,87.85674314493565,0.3255867055048465,61.88541796976526,0.2770172633089418,87.85674314493565,0.3255867055048465,0.1999999999999999,6.38870813883841,0.2812896256222306,91.03499771178072,0.3422659569493277,91.00322214147307,0.3482230042400241,91.03499771178072,0.3422659569493323,88.07638888888889,0.4812254483075134,62.22516297455988,0.3224253302887168,88.07638888888889,0.4812254483075134,2.0,5e-06
True,GenCAT_cora_24000_40000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:12:44.696,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,224.66666666666663,2.35702260395515,0.0276218456918269,1.529775419482605e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.50583348604239,0.3965263543367533,63.04069463283872,0.3517904957566989,89.50583348604239,0.3965263543367533,0.1999999999999999,6.20568272533516,0.0627256392162079,91.51810618739236,0.2134144306915925,91.53246846833454,0.2042026184481806,91.51810618739236,0.2134144306915977,89.63194444444444,0.3704716296763663,63.27410083243912,0.2933856713333701,89.63194444444444,0.3704716296763663,2.0,5e-06
True,GenCAT_cora_24000_40000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:12:09.025,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,248.0,33.41656275960572,0.0280985121893761,3.3128313186204244e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,88.6134923592993,0.2448801508811882,62.43831033180375,0.4107241304661461,88.6134923592993,0.2448801508811882,0.1999999999999999,6.969488183657329,0.9470627298096052,91.5690810081442,0.8470353882360201,91.6132019121896,0.8431870549477789,91.5690810081442,0.8470353882360201,88.15972222222223,0.4270692183756043,62.32019061554341,0.2556607284183789,88.15972222222221,0.4270692183756048,2.0,5e-06
True,GenCAT_cora_12000_20000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:11:40.228,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,223.0,9.933109617167569,0.0195259452416015,9.753958823324816e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,88.52520692249813,0.6538053873958944,62.60383034741638,0.6159645923754825,88.52520692249813,0.6538053873958944,0.1999999999999999,4.354613568633795,0.2023532602046613,92.97992893498513,0.2688088927740049,92.99468289523858,0.2781891940202534,92.97992893498513,0.2688088927740049,89.375,0.8525560696234861,63.10761160051372,0.4418576674160669,89.375,0.8525560696234814,2.0,5e-06
True,GenCAT_cora_12000_20000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:11:13.601,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,215.3333333333333,19.344824171395874,0.0188868840203759,9.676935170432962e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,87.27341389728097,0.61668926051943,61.78814997895192,0.377177179213954,87.27341389728097,0.6166892605194344,0.1999999999999999,4.06625038323303,0.3585310381757202,92.222861526659,0.5165475011627294,92.21839470148974,0.5363517315457667,92.222861526659,0.5165475011627294,87.36111111111113,1.3681789284471937,61.58791426246286,1.0891352830913683,87.36111111111113,1.3681789284471937,2.0,5e-06
True,GenCAT_cora_12000_20000_2,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:10:43.826,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,234.00000000000003,16.309506430300093,0.0199126346664323,7.974336197709879e-05,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.24650698602794,0.3683838088880597,62.76812551930608,0.3136403094423293,89.24650698602795,0.3683838088880549,0.1999999999999999,4.660844751323263,0.3437078530351309,92.01789838337184,0.3894554723796764,92.03510438428631,0.3725832161667288,92.01789838337184,0.3894554723796764,88.98611111111111,0.5836639274847408,62.698457895179146,0.347446960176518,88.98611111111111,0.5836639274847408,2.0,5e-06
True,GenCAT_cora_6000_10000_0,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:10:20.308,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,203.0,14.165686240583856,0.0150192469001878,0.0001579210973628,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,89.0909090909091,0.3593723767321729,63.038943668921455,0.2976807103697833,89.0909090909091,0.3593723767321729,0.1999999999999999,3.0508733813961344,0.242885148301926,93.62564827911363,0.7385182177916562,93.62217745375814,0.7299072615361208,93.62564827911363,0.7385182177916562,87.30555555555556,0.5457467417885683,61.53155910587399,0.4251551155298454,87.30555555555556,0.5457467417885683,2.0,5e-06
True,GenCAT_cora_6000_10000_1,scalability_node_edge,True,GCN,3,0.6,0.2,2022-06-02 14:09:53.963,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,245.3333333333333,18.873850222522755,0.015229194007046,0.0001521685208494,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,88.39328537170265,0.2373979601105933,62.24069763354901,0.5572317774202015,88.39328537170262,0.237397960110594,0.1999999999999999,3.73907984731098,0.3241953674235648,95.15151515151516,0.3711991700107067,95.1811341544166,0.3568446114853234,95.15151515151516,0.3711991700107067,87.19444444444446,0.1039349274103847,61.97061722082346,0.084403026110362,87.19444444444446,0.1039349274103847,2.0,5e-06
