aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,100,101.0,0.0,0.0140867674455452,0.0002346978566914,2000,scalability_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,90.09163802978236,0.7726653816284126,79.51743553337096,2.783458512569983,90.09163802978236,0.7726653816284126,0.1999999999999999,1.422763512000074,0.0237044835258315,91.66666666666666,1.8041275462418205,91.58781571778007,1.7955039711737149,91.66666666666666,1.804127546241824,0.6,89.60639606396063,0.2301142304289025,72.23612630089224,4.720745756411336,89.60639606396063,0.2301142304289025,0.2,2.0,0.0,2022-05-31 16:21:44.698
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_5000_0,2.0,0.5,0.5,100,101.0,0.0,0.014552163287129,0.0001698366358131,2000,scalability_edge,True,,8.0,64,PPR,cat,10.0,16.0,2.0,0.05,JK-GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,90.4352806414662,0.5840801275593089,75.931978712948,6.998143650722878,90.4352806414662,0.5840801275593089,0.1999999999999999,1.4697684920000331,0.0171535002171267,92.34006734006736,1.3104711680926155,92.27094546024084,1.3234757636606571,92.34006734006736,1.3104711680926104,0.6,90.7749077490775,0.3985695386474696,71.86277644080612,5.5389398806610535,90.7749077490775,0.3985695386474713,0.2,2.0,0.0,2022-06-08 12:39:01.943
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,40,73.66666666666667,2.8674417556808782,0.0195259011902299,0.0002709069306599,2000,scalability_edge,False,,8.0,16,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,88.88888888888889,0.5669813823947137,75.41326231782053,4.830901160009563,88.88888888888889,0.5669813823947137,0.1999999999999999,1.4378105113332822,0.042517447754583,97.93771043771044,0.2838959924922596,97.94442612980208,0.2879987698609936,97.93771043771044,0.2838959924922596,0.6,89.60639606396063,1.7329646744902047,67.5886437306494,1.9926635435593272,89.60639606396063,1.7329646744902,0.2,2.0,0.0005,2022-05-31 19:38:55.782
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,40,99.0,1.1102230246251564e-14,0.017734556037038,0.0002744009378817,100,scalability_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,88.71706758304695,0.8099734034210191,75.19590129285383,6.571957807813639,88.71706758304695,0.8099734034210191,0.1999999999999999,1.7557210476667628,0.0271656928502934,90.78282828282828,0.7434142143373631,90.7090855977088,0.7136334578795587,90.78282828282828,0.7434142143373631,0.6,87.82287822878229,0.6903426912867046,66.25682213899444,2.09809342513805,87.82287822878229,0.6903426912867046,0.2,2.0,5e-06,2022-05-31 17:17:33.681
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,40,276.3333333333333,18.66071333637121,0.0147506468591543,0.0001407095952982,2000,scalability_edge,False,,8.0,32,PPR,last,10.0,16.0,2.0,0.002,GAT,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,87.68613974799541,1.576849931035078,75.01060822119413,6.891631291710682,87.68613974799541,1.576849931035078,0.1999999999999999,4.077436988000045,0.2965993680358342,90.50925925925924,1.36119205629598,90.47120588133085,1.3986280798608408,90.50925925925924,1.36119205629598,0.6,86.46986469864699,0.8697500383598358,61.83698969829311,0.716635182386392,86.46986469864699,0.8697500383598358,0.2,2.0,0.0,2022-05-31 16:25:46.278
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_5000_0,2.0,0.5,0.5,40,270.3333333333333,14.383632673594276,0.0186716632777286,0.0033090814952183,2000,scalability_edge,True,,8.0,32,PPR,cat,10.0,16.0,2.0,0.002,JK-GAT,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,87.22794959908362,0.4926875868867466,69.09468511135289,3.742808327463293,87.22794959908362,0.4926875868867513,0.1999999999999999,5.070530410666606,1.0597006823919148,92.36111111111111,0.4404135003463023,92.29006871548847,0.4135437441006868,92.3611111111111,0.4404135003463028,0.6,87.45387453874538,0.4519353768972637,72.6533920390413,7.494304385751309,87.45387453874538,0.4519353768972637,0.2,2.0,0.0,2022-06-08 12:39:45.495
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,100,125.33333333333331,5.436502143433368,0.0204435704144007,6.9107216894152e-05,2000,scalability_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,H2GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,90.6643757159221,0.8571952776114383,71.72265996207669,0.8410937410098452,90.6643757159221,0.8571952776114383,0.1999999999999999,2.562251923999914,0.1110807895644489,95.7912457912458,0.181025363363692,95.8187237373782,0.1824231732389578,95.7912457912458,0.181025363363692,0.6,89.97539975399755,1.0030446759102167,68.87063603833775,5.262471935433783,89.97539975399755,1.0030446759102167,0.2,2.0,0.0005,2022-06-07 14:33:45.220
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,100,101.0,0.0,0.0146039906699641,0.0001451582244334,500,scalability_edge,False,,8.0,128,PPR,last,10.0,16.0,2.0,0.1,GraphSAGE,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,87.17067583046965,1.5516858171986363,70.48215074612393,6.273617248538738,87.17067583046965,1.5516858171986363,0.1999999999999999,1.475003057666375,0.014660980667782,88.78367003367003,3.133049326789436,88.65839518603622,3.29899755967375,88.78367003367003,3.133049326789436,0.6,86.40836408364083,0.6088250268518874,70.26478401746367,7.206904289148258,86.40836408364083,0.6088250268518874,0.2,2.0,0.0,2022-05-31 17:28:39.215
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_5000_0,2.0,0.5,0.5,100,101.0,0.0,0.0152707550825079,0.000100160853346,500,scalability_edge,True,,8.0,128,PPR,max,10.0,16.0,2.0,0.1,JK-GraphSAGE,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,88.25887743413516,1.7315253674491409,69.73092911082821,1.427514718467208,88.25887743413517,1.731525367449139,0.1999999999999999,1.5423462633333052,0.0101162461879477,91.91919191919192,3.463986253123273,91.75620362181472,3.588068723261696,91.91919191919192,3.463986253123273,0.6,85.91635916359164,1.2812218115620926,65.27578683756937,1.1735233989162388,85.91635916359164,1.2812218115620926,0.2,2.0,0.0,2022-06-08 12:41:20.238
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_5000_0,2.0,0.5,0.5,40,387.6666666666666,31.18047822311617,0.0106928939513247,0.0001520436333851,2000,scalability_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,68.90034364261167,0.5611660350018716,51.70345315892818,0.2533322783153447,68.90034364261167,0.5611660350018716,0.1999999999999999,4.149551368000174,0.3872016188143507,98.73737373737372,0.2727584469026903,98.74485263737864,0.2697896073957692,98.73737373737372,0.2727584469026903,0.6,65.55965559655596,0.9685126536299912,47.959848745502285,0.2420968765903008,65.55965559655596,0.9685126536299912,0.2,2.0,5e-05,2022-05-31 19:41:04.802
