aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date,num_edge_layers,num_node_layers,supplementary
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,47.0,4.242640687119286,0.0136173174162336,0.0002513236508633,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,94.9756280464942,1.5377650284521802,52.32830217550703,5.9012700629202985,94.9756280464942,1.5377650284521802,0.1999999999999999,0.6396923513331483,0.0550036401123798,82.77212216131558,4.789427544686228,73.41073650572169,9.031081192898393,82.77212216131558,4.789427544686228,0.6,93.91143911439114,0.301290251264844,56.43205287823806,1.7852061762652625,93.91143911439114,0.301290251264844,0.2,2.0,5e-06,2022-08-04 20:39:02.171,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,47.0,0.8164965809277244,0.0160483878322087,0.0034069749487676,2000,classsize,True,,8.0,64,PPR,max,10.0,16.0,2.0,0.05,JK-GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,95.16310461192352,0.2429974015151066,56.73462761109409,0.995456074161651,95.16310461192352,0.2429974015151066,0.1999999999999999,0.7518913849999839,0.1472806163944818,86.29600626468284,2.350126002682825,77.22184943520718,5.716103285232746,86.29600626468284,2.350126002682825,0.6,95.38745387453874,0.3985695386474696,54.12467636257288,2.6415028084698986,95.38745387453874,0.3985695386474696,0.2,2.0,5e-06,2022-08-08 22:29:14.288,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,107.0,1.6329931618554536,0.0177376222323568,0.0001480603888365,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,95.38807649043868,0.1590791408743643,51.42141791559843,3.929294606099986,95.38807649043868,0.1590791408743643,0.1999999999999999,1.89782902933348,0.0268031091689727,98.92978334638477,0.2055340087186593,98.6866687165389,0.2516886370914995,98.92978334638477,0.2055340087186593,0.6,94.7109471094711,1.1306750498677864,55.06412445612169,1.1378510466274403,94.7109471094711,1.1306750498677864,0.2,2.0,5e-06,2022-08-04 21:22:18.694,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,65.66666666666667,0.4714045207910321,0.0117195715541613,0.0001809979616199,100,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,95.61304836895388,0.0918443848062656,80.19647166641506,0.5627958717679714,95.61304836895388,0.0918443848062656,0.1999999999999999,0.7695017676669522,0.0065360741784762,68.51996867658573,0.2305340868266232,45.392348321498055,0.1492320745081418,68.51996867658573,0.2305340868266232,0.6,95.8179581795818,0.2301142304288986,85.87415182994795,1.2650250395922094,95.8179581795818,0.2301142304288986,0.2,2.0,0.0005,2022-08-04 19:49:43.249,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,101.0,0.0,0.0154246189471984,0.0001603999393244,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,94.8631421072366,0.2311366330322097,50.6482999726925,4.247096856501206,94.8631421072366,0.2311366330322097,0.1999999999999999,1.557886513667048,0.0162003938717679,88.1232054293918,4.034895372814367,82.89806155793322,7.735424874971619,88.1232054293918,4.034895372814367,0.6,93.78843788437884,1.226933415944652,51.25782081411532,4.250317311976805,93.78843788437884,1.226933415944652,0.2,2.0,5e-06,2022-08-04 19:33:19.627,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,102.33333333333334,0.9428090415820642,0.0256998168533429,0.0059365159307049,2000,classsize,True,,8.0,64,PPR,lstm,10.0,16.0,2.0,0.05,JK-GAT,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,94.41319835020622,0.6954344578549491,46.99068251670273,0.6690235369218027,94.41319835020622,0.6954344578549491,0.1999999999999999,2.6327695053332723,0.6219101471829076,85.35630383711825,5.319219325839213,80.51394757245566,8.628923303358787,85.35630383711825,5.319219325839206,0.6,93.66543665436654,0.9685126536299896,46.4077683554094,2.588997961809511,93.66543665436654,0.9685126536299896,0.2,2.0,5e-06,2022-08-08 22:30:04.955,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,279.00000000000006,30.24345659257001,0.0163524121414779,0.0001017800179513,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,H2GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,95.53805774278216,0.42421104233164,55.59799798329173,4.475616203833242,95.53805774278216,0.42421104233164,0.1999999999999999,4.560149166999811,0.4736926418762405,94.72722526755418,0.7071896206809742,94.00051927733948,0.7064640740270232,94.72722526755416,0.707189620680979,0.6,95.14145141451417,0.6088250268518867,48.53297591243724,4.943066150754491,95.14145141451417,0.6088250268518867,0.2,2.0,0.0005,2022-08-04 19:43:20.213,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,43.333333333333336,2.0548046676563274,0.0149079858683401,0.0001959383240959,500,classsize,False,,8.0,128,PPR,last,10.0,16.0,2.0,0.1,GraphSAGE,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,94.33820772403448,0.5381589836673137,44.31230605973993,2.6055740231482125,94.33820772403448,0.5381589836673137,0.1999999999999999,0.6460073713333259,0.0313948465257224,90.62907856956409,2.94210447478055,88.57121203971774,3.029894662110701,90.62907856956409,2.94210447478055,0.6,93.66543665436654,0.5703332408053913,51.53454037861831,6.103278113168583,93.66543665436654,0.5703332408053913,0.2,2.0,0.0,2022-08-04 19:52:23.544,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,41.66666666666667,0.4714045207910321,0.0174037819388309,0.0039819684852731,500,classsize,True,,8.0,128,PPR,cat,10.0,16.0,2.0,0.1,JK-GraphSAGE,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,94.22572178477692,0.6893429437889106,50.08939462643814,3.3611112930294977,94.2257217847769,0.6893429437889157,0.1999999999999999,0.7232804876666706,0.1563839979482271,91.04672409292613,4.258685395753583,85.90986928883932,8.610397233503576,91.04672409292613,4.258685395753583,0.6,94.5879458794588,1.140666481610791,48.5975852293658,2.7707250160057284,94.5879458794588,1.140666481610791,0.2,2.0,0.0,2022-08-08 22:30:20.534,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,114.0,5.715476066494079,0.010174894643538,7.934142336027289e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,MLP,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,84.10198725159356,0.2952383904766329,39.11596289300541,1.083948318081222,84.10198725159356,0.2952383904766362,0.1999999999999999,1.159496004333353,0.0494399238447674,97.18089271730618,1.1102230246251564e-14,97.15716763671496,0.1244379785830217,97.18089271730618,1.1102230246251564e-14,0.6,83.21033210332102,0.9163385255689612,41.13260672414134,2.728268041684716,83.21033210332102,0.9163385255689612,0.2,2.0,0.0005,2022-08-04 21:28:34.290,,,
