dataset,early_stopping,epochs,lr,net,parameter_search,RPMAX,train_rate,val_rate,weight_decay,date,aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,depth,dprate,dropout,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,exp,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,nhop,num_neighbors,output_heads,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,full_search_params
GenCAT_cora_1_0,100,2000,0.0001,MoNet,True,10,0.6,0.2,0.0001,2022-05-20 05:49:05.726,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,1006.8000000000002,48.879034360347184,0.023426763486344,9.235229940850785e-05,attribute,,8.0,64,PPR,last,10.0,25.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,86.7107438016529,0.9558236227967573,60.31632652622252,0.9710214779478864,86.7107438016529,0.9558236227967551,0.1999999999999999,23.586548733398377,1.16002019347015,94.13196668802053,0.4955561718337901,94.15838051588536,0.4937838891914019,94.13196668802053,0.4955561718337901,85.86715867158672,0.8543053064789838,59.718628018918906,1.1035518753256666,85.86715867158672,0.8543053064789838,2.0,
GenCAT_cora_1_0,40,2000,0.05,GPRGNN,True,10,0.6,0.2,0.0005,2022-05-20 06:53:15.803,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,68.0,7.496665925596526,0.0184701051374934,0.0004026146255397,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,89.7190082644628,1.1891640164366903,64.16565354718406,4.670098398382437,89.7190082644628,1.1891640164366903,0.1999999999999999,1.2569678630010457,0.152293690680392,86.82254964766176,1.486185358056782,86.87515705844781,1.4318570201796967,86.82254964766176,1.4861853580567823,89.53874538745387,1.094797320970242,64.62774936027901,5.00335682202448,89.53874538745387,1.0947973209702415,2.0,
GenCAT_cora_1_0,100,2000,0.01,FSGNN,True,10,0.6,0.2,0.0005,2022-05-20 09:02:14.515,mean,0.1,0.1,512.0,7.0,False,False,2.0,0.5,0.5,171.89999999999998,9.914131328563284,0.0668667277798146,0.0023605223761212,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,8.0,10.0,1.0,GPR_prop,2000.0,50.0,86.18181818181819,1.517063656936695,60.96082761898709,2.649030740125413,86.18181818181819,1.5170636569366929,0.1999999999999999,11.47140827299154,0.26848590296748,99.1800128122998,0.2699719091057695,99.18280101469398,0.2687557534619743,99.1800128122998,0.2699719091057695,86.42066420664207,1.4320005839064396,60.31681384261082,1.2519876024337953,86.42066420664207,1.4320005839064402,2.0,
GenCAT_cora_1_0,40,300,0.01,GraphSAINT-GAT,True,10,0.6,0.2,0.0,2022-05-21 04:45:12.314,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.2,62.10000000000001,5.80430874437258,0.0181317681281299,0.000201096009406,attribute,,8.0,256,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,71.15702479338843,2.784768351625498,48.82487904711279,1.544258251219689,71.15702479338843,2.784768351625498,0.1999999999999999,1.1254054505006934,0.0996149416564479,89.38500960922488,2.7485369475577275,89.41764094704303,2.7259943568253724,89.38500960922487,2.748536947557729,71.90036900369005,2.829623179337854,49.37531317302518,2.474259557668568,71.90036900369005,2.829623179337854,2.0,
GenCAT_cora_1_0,40,300,0.002,GraphSAINT-GraphSAGE,True,10,0.6,0.2,0.0,2022-05-21 04:55:47.179,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.0,69.0,1.549193338482963,0.0165814327530847,0.0002071928612834,attribute,,8.0,256,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,1500.0,50.0,81.61983471074382,1.243080705914919,57.83362417480009,2.564572546298097,81.61983471074382,1.243080705914919,0.1999999999999999,1.1441398643008145,0.0302132165639958,96.72645739910314,1.1034395630519989,96.7505798690971,1.092639304071262,96.72645739910314,1.1034395630519989,80.4981549815498,1.462228048049783,56.198978103167526,1.4265862085054763,80.4981549815498,1.4622280480497838,2.0,
GenCAT_cora_1_0,40,200,0.002,Shadow-GAT,True,10,0.6,0.2,0.0,2022-05-21 07:45:08.511,mean,0.1,0.01,128.0,7.0,False,False,2.0,0.5,0.2,41.5,0.6708203932499375,0.4010214057361387,0.0017678242147914,attribute,,8.0,128,PPR,last,10.0,16.0,2.0,2.0,5.0,1.0,GPR_prop,2000.0,50.0,85.66942148760332,1.351031146242608,61.71906620740726,4.488794649832507,85.66942148760332,1.351031146242608,0.1999999999999999,16.642559734599487,0.2889506231436231,94.68289557975658,1.941391100563824,94.71163016620748,1.8939478972217632,94.68289557975658,1.941391100563824,85.46125461254613,1.948744786200869,59.97455498499564,2.939656573967512,85.46125461254613,1.9487447862008704,2.0,
GenCAT_cora_1_0,40,200,0.002,Shadow-GraphSAGE,True,10,0.6,0.2,0.0,2022-05-23 02:06:37.990,mean,0.1,0.01,128.0,7.0,False,False,2.0,0.5,0.1,41.0,5.551115123125783e-15,0.5598310395439046,0.0038689941707224,attribute,,8.0,256,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,84.59504132231406,1.4386813320323253,60.143608112763744,3.4190690597545856,84.59504132231406,1.4386813320323253,0.1999999999999999,22.953072621300088,0.158628760999622,95.89365791159514,2.349310821328749,95.92601012517405,2.3291388199619885,95.89365791159514,2.3493108213287472,84.52029520295203,1.474745764457015,58.88967424006312,3.74623465116845,84.52029520295203,1.474745764457015,2.0,
GenCAT_cora_4_0,100,2000,0.05,GCN,True,10,0.6,0.2,5e-06,2022-05-20 10:02:43.478,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,101.0,0.0,0.0157432184297168,0.0003486098545727,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,80.85910652920963,1.297677497491351,61.76895947084834,1.951142742353924,80.85910652920963,1.297677497491351,0.1999999999999999,1.5900650614014011,0.0352095953118503,95.03156565656568,0.7985799191417252,94.9890303524285,0.804091763488571,95.03156565656568,0.7985799191417252,80.0,1.91597859568224,59.70627678540602,1.738288926758647,80.0,1.915978595682239,2.0,
GenCAT_cora_4_0,100,2000,0.05,JK-GCN,False,10,0.6,0.2,5e-06,2022-06-02 12:45:59.662,mean,0.1,0.01,512.0,7.0,True,False,2.0,0.5,0.5,101.0,0.0,0.0161167469504944,0.0008934093299922,attribute,,8.0,64,PPR,lstm,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,80.44673539518901,3.0734408506991104,60.16911664104121,2.7779186826658915,80.44673539518901,3.0734408506991104,0.1999999999999999,1.6277914419999433,0.0902343423292196,95.24621212121212,1.8218716942359408,95.21882212906011,1.820695284626252,95.24621212121212,1.8218716942359423,80.59040590405904,2.298214703914394,60.059841500662905,3.356130969168333,80.59040590405905,2.298214703914395,2.0,True
GenCAT_cora_4_0,100,2000,0.05,ChebNet,True,10,0.6,0.2,0.0005,2022-05-20 22:00:14.845,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,135.90000000000003,7.764663547121664,0.0188420759953612,0.0002609897067318,attribute,,8.0,16,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,75.13745704467354,1.640960938502511,56.47603256410425,1.502989921986761,75.13745704467354,1.640960938502514,0.1999999999999999,2.5612301520000984,0.1613922365162316,99.46969696969695,0.2365529544847898,99.46773679271,0.2433762940075612,99.46969696969695,0.2365529544847898,74.87084870848707,2.3378648061191387,54.94375312727456,1.7211144750647465,74.8708487084871,2.3378648061191427,2.0,
