aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date,num_edge_layers,num_node_layers,supplementary
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,100,128.66666666666666,4.496912521077351,0.0218713186322606,6.490974502432972e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,25.0,2.0,0.002,MoNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,93.10086239220098,0.2952383904766348,51.96497626427787,3.052122785138407,93.10086239220098,0.2952383904766362,0.1999999999999999,2.813957061999948,0.0940949917817684,95.95405899243018,0.3906716143851671,95.54907016349595,0.4697406007612065,95.95405899243018,0.3906716143851671,0.6,93.48093480934808,0.9801585147914612,51.651801269797126,4.142193684200491,93.48093480934808,0.9801585147914612,0.2,2.0,0.0005,2022-08-04 21:39:01.692,,,
mean,0.9,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,49.333333333333336,1.699673171197596,0.0161537544123131,6.939671462542055e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GPRGNN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,95.42557180352456,0.053026380291453,55.631415478745126,6.321479732149711,95.42557180352456,0.053026380291453,0.1999999999999999,0.7969783050005693,0.0292629502127799,91.85591229444007,0.9925947972765066,90.82056567287742,1.2308083466833324,91.85591229444007,0.9925947972765108,0.6,95.63345633456332,0.4842563268149931,50.231019152651314,4.435821386516712,95.63345633456332,0.4842563268149931,0.2,2.0,0.0,2022-08-04 21:06:15.460,,,
mean,0.1,0.001,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.5,40,527.3333333333334,20.725722075613085,0.0251515560883872,0.0006632945001378,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,FSGNN,8.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,93.7007874015748,0.40034039190219,54.53961135919839,1.3507159830208937,93.7007874015748,0.4003403919021869,0.1999999999999999,13.2665218146667,0.6887253244928465,100.0,0.0,100.0,0.0,100.0,0.0,0.6,93.54243542435424,0.1506451256324197,43.07819741723837,2.3163150840270013,93.54243542435424,0.1506451256324197,0.2,2.0,0.0005,2022-08-04 20:29:36.388,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.1,40,58.333333333333336,3.399346342395189,0.0195508900092406,0.0001559786697738,300,classsize,False,,8.0,256,PPR,last,10.0,16.0,2.0,0.01,GraphSAINT-GAT,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,87.81402324709411,0.4622732660644151,58.42729146818365,0.7911060058896904,87.81402324709411,0.4622732660644199,0.1999999999999999,1.140031891000035,0.0588254282569033,76.45523362046464,0.7410634072867882,59.44761751941351,0.7067431473788341,76.45523362046464,0.7410634072867882,0.6,87.82287822878229,0.2609250115079476,58.05564320512114,2.2073898005316392,87.82287822878229,0.2609250115079476,0.2,4.0,0.0,2022-08-04 20:49:46.550,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.1,40,42.0,1.4142135623730965,0.0166396836066142,0.0001319457184494,300,classsize,False,,8.0,256,PPR,last,10.0,16.0,2.0,0.01,GraphSAINT-GraphSAGE,2.0,10.0,1.0,True,GPR_prop,1500.0,3,50.0,95.35058117735282,0.2311366330322055,61.32594275317101,7.153753057704751,95.35058117735282,0.2311366330322055,0.1999999999999999,0.6987436546666382,0.0202039585293446,79.24823805794831,5.931839268412098,65.50562002272132,10.95433956898641,79.24823805794831,5.931839268412096,0.6,94.3419434194342,0.5290482944060674,59.17403365408999,7.269553749067288,94.3419434194342,0.5290482944060674,0.2,2.0,0.0,2022-08-04 20:57:56.263,,,
mean,0.1,0.01,128.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.2,40,41.0,0.0,0.6528304087886482,0.0063680879100829,200,classsize,False,,8.0,256,PPR,last,10.0,16.0,2.0,0.01,Shadow-GAT,2.0,20.0,1.0,True,GPR_prop,2000.0,3,50.0,93.25084364454442,0.7347550784501478,54.216189227971526,8.092888279771355,93.25084364454442,0.7347550784501432,0.1999999999999999,26.76604676033458,0.2610916043134015,82.35447663795354,9.874399631521902,73.55187330470547,16.601636713585215,82.35447663795354,9.874399631521898,0.6,91.82041820418203,1.003044675910215,49.63827364988862,6.730993554819954,91.82041820418203,1.003044675910215,0.2,2.0,0.0,2022-08-04 23:22:50.350,,,
mean,0.1,0.01,64.0,7.0,False,False,GenCAT_cora_0.4_0,2.0,0.5,0.2,40,41.333333333333336,0.4714045207910321,0.4493020054982307,0.0024843317306532,200,classsize,False,,8.0,256,PPR,last,10.0,16.0,2.0,0.01,Shadow-GraphSAGE,2.0,5.0,1.0,True,GPR_prop,2000.0,3,50.0,93.4008248968879,0.5058394286926154,69.94487378736443,7.78652431105494,93.4008248968879,0.5058394286926177,0.1999999999999999,18.570027971332213,0.1164177659389509,72.69642391020622,2.8374164952651904,53.7207602767519,4.761693133921412,72.69642391020622,2.8374164952651904,0.6,93.7269372693727,0.2609250115079528,62.04672392606808,1.5941601896082087,93.7269372693727,0.2609250115079528,0.2,2.0,0.0,2022-08-05 01:20:16.879,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,100,109.0,1.6329931618554536,0.0125775051996589,9.862429744711952e-05,2000,classsize,False,,8.0,32,PPR,last,10.0,16.0,2.0,0.05,GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,98.7930148947098,0.4044174562923367,71.41599491810399,1.833572716400023,98.7930148947098,0.4044174562923367,0.1999999999999999,1.370901003666707,0.0201315370815024,90.36098310291858,1.1910954239071296,53.15533003659551,1.345857229210205,90.36098310291858,1.1910954239071296,0.6,98.8929889298893,0.3985695386474696,68.93057958674478,3.4417709860890824,98.8929889298893,0.3985695386474696,0.2,2.0,0.0,2022-08-04 21:52:19.235,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,100,118.66666666666669,8.2192186706253,0.0221549088449845,0.0008893378473654,2000,classsize,True,,8.0,32,PPR,lstm,10.0,16.0,2.0,0.05,JK-GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,98.35644581407294,0.2022087281461683,63.68182207924199,5.859627800599377,98.35644581407294,0.2022087281461683,0.1999999999999999,2.6223749886666687,0.0975832095218144,92.357910906298,3.165350389400136,57.39450196835092,7.47854297310338,92.357910906298,3.165350389400136,0.6,98.46248462484624,0.6088250268518881,68.37506984254397,3.207891971642484,98.46248462484624,0.6088250268518881,0.2,2.0,0.0,2022-08-08 17:45:50.588,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,69.66666666666667,4.189935029992177,0.0177240329992332,0.0002910713775579,2000,classsize,False,,8.0,32,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,98.9984591679507,0.0629042050021375,71.41037485801066,1.4636422882021225,98.9984591679507,0.0629042050021375,0.1999999999999999,1.2337597613332036,0.059246693650265,97.35023041474656,0.1881328527483231,76.16002088001464,2.867292355200588,97.35023041474656,0.1881328527483231,0.6,98.8929889298893,0.1506451256324242,66.7084239540804,5.295270324092267,98.8929889298893,0.1506451256324242,0.2,2.0,0.0005,2022-08-04 22:42:22.995,,,
