aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,40,123.33333333333331,17.152907107024806,0.0130965895582787,9.581429659739866e-05,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.01,GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,86.52263374485597,1.1707620037799429,68.78021745206692,5.4957499812043045,86.52263374485597,1.1707620037799389,0.1999999999999999,1.6146603655070066,0.2196888626859067,93.96879756468796,0.7718973658714159,93.86853188487598,0.8296217796737811,93.96879756468796,0.7718973658714159,0.6,85.61111111111111,2.161675162038194,65.0219957443103,3.0558793476158645,85.61111111111111,2.161675162038197,0.2,2.0,0.0005,2022-06-01 10:44:06.182
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,40,95.66666666666669,11.614167593456235,0.0141714480603743,0.0001856046776615,2000,scalability_node_edge,True,,8.0,64,PPR,max,10.0,16.0,2.0,0.01,JK-GCN,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,86.67695473251028,0.9787190118539316,64.36160665182953,0.6978021304037102,86.67695473251028,0.9787190118539268,0.1999999999999999,1.3538475336667184,0.1481896923902096,93.85464231354642,0.7224824028176371,93.7828012214226,0.7107813710150342,93.85464231354642,0.7224824028176372,0.6,87.05555555555556,0.8314794192830994,67.38035460725756,1.4860921330269463,87.05555555555556,0.8314794192830994,0.2,2.0,0.0005,2022-06-06 16:44:26.228
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,40,66.66666666666666,3.299831645537219,0.0151008564674928,0.0001180916926803,2000,scalability_node_edge,False,,8.0,32,PPR,last,10.0,16.0,2.0,0.05,ChebNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,87.55144032921812,1.2621238833729735,69.94339190559342,3.254628930402915,87.55144032921812,1.2621238833729735,0.1999999999999999,1.0063522458076477,0.0426580942654898,98.09741248097411,0.2566730891025872,98.0973261468102,0.2622232128641943,98.09741248097411,0.2566730891025872,0.6,86.72222222222223,1.6348821077291305,68.09288577197826,0.9390424688462524,86.72222222222223,1.6348821077291305,0.2,2.0,0.0005,2022-06-01 11:34:17.138
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,40,99.0,1.1102230246251564e-14,0.011394907974384,0.0002811941580896,100,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,85.3395061728395,0.5492324203719835,65.99313482751847,1.061617857012752,85.3395061728395,0.5492324203719835,0.1999999999999999,1.1280958894640207,0.0278382216508733,86.37747336377473,0.6546670675070503,86.1018437698347,0.6233467176456868,86.37747336377473,0.6546670675070503,0.6,85.83333333333334,1.1785113019775804,63.962689955112175,3.680189080114336,85.83333333333334,1.1785113019775804,0.2,2.0,5e-05,2022-06-01 10:51:09.055
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,100,136.66666666666669,5.906681715556445,0.0155974346285598,0.0001149634454944,2000,scalability_node_edge,False,,8.0,32,PPR,last,10.0,16.0,2.0,0.05,GAT,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,87.19135802469134,0.2520051175702869,68.20147108265022,0.7288938909312571,87.19135802469134,0.2520051175702869,0.1999999999999999,2.131215402235588,0.0825566332080053,89.117199391172,1.9508713452981088,88.9628167912807,1.9614163050243807,89.117199391172,1.950871345298114,0.6,87.0,0.1360827634879575,63.6728944331308,2.492981946526285,87.0,0.1360827634879575,0.2,2.0,0.0005,2022-06-01 00:21:12.198
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,100,121.33333333333336,9.46337971105226,0.0198113528330504,0.0057581708901595,2000,scalability_node_edge,True,,8.0,32,PPR,max,10.0,16.0,2.0,0.05,JK-GAT,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,87.13991769547324,0.7595073590655075,66.5417263750991,2.037814104061296,87.13991769547324,0.7595073590655075,0.1999999999999999,2.3537914703333622,0.4945643745892484,92.04718417047184,0.2101476601443528,91.928460052486,0.2007885564554384,92.04718417047184,0.2101476601443528,0.6,87.16666666666666,0.849836585598798,66.90010190559235,1.572143096185201,87.16666666666666,0.8498365855988033,0.2,2.0,0.0005,2022-06-06 16:45:12.056
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,100,128.33333333333334,11.55662388223981,0.0185380599773341,0.0005887901663115,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,H2GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,89.50617283950618,1.5483453645362528,70.86654422994991,2.432626321414333,89.50617283950618,1.5483453645362528,0.1999999999999999,2.372289360190431,0.1442120958673233,94.2732115677321,0.8156754608153001,94.2605895373553,0.8117365442719724,94.2732115677321,0.8156754608153001,0.6,89.16666666666666,0.4714045207910321,67.917854650848,0.5696386312864112,89.16666666666666,0.4714045207910321,0.2,2.0,0.0005,2022-06-01 11:07:19.158
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,100,108.0,6.377042156569658,0.0120925969400538,0.000123614909715,500,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.1,GraphSAGE,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,86.62551440329219,1.287036625843293,66.82200007246969,2.879956995981995,86.62551440329219,1.287036625843293,0.1999999999999999,1.30667528261741,0.0893192260719251,96.13774733637749,0.792719431354629,96.12300988166652,0.8260609936541583,96.13774733637749,0.792719431354629,0.6,85.22222222222223,1.733831837147471,62.3908796165772,0.7435870089016537,85.22222222222223,1.733831837147471,0.2,2.0,0.0005,2022-06-01 00:29:46.166
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,100,101.66666666666669,0.4714045207910321,0.0145497441232767,0.0001210343707045,500,scalability_node_edge,True,,8.0,64,PPR,cat,10.0,16.0,2.0,0.1,JK-GraphSAGE,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,86.52263374485597,0.0727476112331842,64.7657952031938,1.7272368524340276,86.52263374485597,0.0727476112331842,0.1999999999999999,1.4792299446666373,0.0147310624386055,97.5076103500761,1.0883066701731403,97.53540323740025,1.0648069626987346,97.5076103500761,1.0883066701731403,0.6,86.94444444444444,1.3356461422412558,68.58405449499143,1.2572533562926724,86.94444444444443,1.335646142241261,0.2,2.0,0.0005,2022-06-06 16:45:46.226
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_3000_5000_0,2.0,0.5,0.5,40,405.6666666666667,37.67698973585277,0.0096884555680759,6.37938488729357e-05,2000,scalability_node_edge,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,69.49588477366255,0.5954648612546387,51.70811299223591,0.8181585479239182,69.49588477366255,0.5954648612546387,0.1999999999999999,3.931447694078088,0.3782678266438144,98.82039573820394,0.3371393673262832,98.82649350546312,0.3459770864044778,98.82039573820394,0.3371393673262832,0.6,69.16666666666667,1.533574860204697,52.669659922523294,0.4863912146290932,69.16666666666667,1.533574860204702,0.2,2.0,0.0,2022-06-01 00:33:44.363
